Wavelength (nm),Mpala firelight spectral radiance (mW/m2/nm)
350,0.000443
355,0.004423
360,0.029516
365,0.02176
370,0.017485
375,0.042291
380,0.028895
385,0.025701
390,0.019032
395,0.02263
400,0.021174
405,0.022669
410,0.023867
415,0.027317
420,0.015396
425,0.023163
430,0.022942
435,0.016343
440,0.024111
445,0.024493
450,0.023299
455,0.017749
460,0.027513
465,0.023511
470,0.025803
475,0.023696
480,0.026537
485,0.023317
490,0.025698
495,0.028574
500,0.034859
505,0.03821
510,0.047074
515,0.047419
520,0.044573
525,0.050516
530,0.050548
535,0.063867
540,0.068409
545,0.070765
550,0.079632
555,0.087743
560,0.10009
565,0.11017
570,0.11685
575,0.13115
580,0.14285
585,0.17298
590,0.28541
595,0.18879
600,0.20844
605,0.22266
610,0.24894
615,0.27285
620,0.29215
625,0.31735
630,0.34048
635,0.38177
640,0.41028
645,0.4407
650,0.46691
655,0.50216
660,0.54181
665,0.58818
670,0.63609
675,0.68541
680,0.72361
685,0.78634
690,0.84152
695,0.90807
700,0.9673
705,1.0289
710,1.1033
715,1.1843
720,1.2758
725,1.3681
730,1.4552
735,1.5429
740,1.6295
745,1.7169
750,1.807
755,1.9016
760,2.0419
765,4.1908
770,4.1486
775,2.4895
780,2.6138
785,2.7367
790,2.8561
795,3.0296
800,3.191
805,3.3552
810,3.5527
815,3.7637
820,4.0109
825,4.1999
830,4.4337
835,4.6691
840,4.9582
845,5.2483
850,5.5462
855,5.8837
860,6.1177
865,6.4567
870,6.8822
875,7.314
880,7.6078
885,8.1271
890,8.554
895,9.0181
900,9.5072
905,10.125
910,10.689
915,11.177
920,11.702
925,12.223
930,13.077
935,13.69
940,14.395
945,15.087
950,16.117